Country,Date,Loss Prediction,Relative Finance Abs Loss(bigger is better because Lfa < 0),Relative Finance Var Loss(less is better)
美国,20200401,16741.37109,0.91,2.655
美国,20200515,8036.84375,0.939,3.0
美国,20200701,26858.73633,0.929,3.091
美国,20200815,14110.25781,0.944,1.14
美国,20201001,21659.42578,1.027,1.4
美国,20201115,56937.86328,1.007,3.857
巴西,20200401,2085.86133,1.206,0.626
巴西,20200515,9455.43945,1.054,0.116
巴西,20200701,4194.07422,1.02,0.489
巴西,20200815,3783.0813,1.07,0.388
巴西,20201001,15720.3457,1.031,0.206
巴西,20201115,16030.12891,1.132,0.514
俄罗斯,20200401,1793.81165,0.947,0.973
俄罗斯,20200515,51.02135,1.034,4.526
俄罗斯,20200701,1782.07068,1.039,67.0
俄罗斯,20200815,816.8772,1.009,48.0
俄罗斯,20201001,3406.30444,1.052,20.187
俄罗斯,20201115,2513.9856,1.049,5.765
日本,20200401,339.60016,0.944,0.387
日本,20200515,132.32072,1.102,0.578
日本,20200701,178.50151,0.984,0.452
日本,20200815,217.51778,0.974,0.873
日本,20201001,19.88988,1.04,0.204
日本,20201115,898.41022,1.158,0.257
德国,20200401,1133.00781,1.035,0.555
德国,20200515,181.75848,1.033,0.305
德国,20200701,73.18076,0.93,0.239
德国,20200815,292.81738,1.046,0.247
德国,20201001,1933.26367,0.964,0.52
德国,20201115,1588.39355,1.089,0.522
法国,20200401,4930.29004,0.387,0.004
法国,20200515,798.84589,1.485,0.154
法国,20200701,259.51639,1.065,0.706
法国,20200815,3575.54102,1.024,0.956
法国,20201001,14637.23633,1.014,0.256
法国,20201115,7959.29736,0.892,0.805
英国,20200401,2548.5564,0.908,1.873
英国,20200515,914.74609,0.904,1.286
英国,20200701,843.30005,1.206,1.0
英国,20200815,787.83636,0.976,1.333
英国,20201001,11273.51465,0.98,1.028
英国,20201115,9953.75098,0.923,2.167
意大利,20200401,681.6814,0.996,1.327
意大利,20200515,1437.69543,1.11,0.909
意大利,20200701,159.43021,0.744,0.667
意大利,20200815,468.57977,0.991,2.535
意大利,20201001,3718.28955,1.01,3.364
意大利,20201115,1532.14539,1.077,6.704
韩国,20200401,49.61062,1.224,1.034
韩国,20200515,10.91209,0.731,1.718
韩国,20200701,7.20352,1.051,1.156
韩国,20200815,155.93181,1.018,0.345
韩国,20201001,6.39266,0.909,1.953
韩国,20201115,166.36867,0.981,1.126
波兰,20200401,165.34082,0.981,0.303
波兰,20200515,74.72843,0.888,1.696
波兰,20200701,126.12791,0.963,2.533
波兰,20200815,41.99416,1.454,1.801
波兰,20201001,3145.52539,0.988,1.118
波兰,20201115,5387.34668,1.204,2.736
澳大利亚,20200401,84.31821,2.23,15.821
澳大利亚,20200515,1.37811,1.044,0.711
澳大利亚,20200701,129.17186,0.871,0.124
澳大利亚,20200815,138.11533,0.47,11.375
澳大利亚,20201001,146.84425,1.805,8.0
澳大利亚,20201115,168.94406,2.484,1.5
